"DATE_HEURE";"BT";"GT";"MG";"Da";"Dcr"
"03/23/2018 12:18:24";1;0;0;1;0
"03/23/2018 12:20:29";1;0;0;1;0
"03/23/2018 12:25:30";1;0;0;1;0
"03/23/2018 12:33:09";1;0;0;1;0
"03/23/2018 12:33:47";1;1;0;1;0
"03/23/2018 12:33:53";1;0;0;1;0
"03/23/2018 12:34:11";1;0;0;1;0
"03/23/2018 12:52:05";1;0;0;1;0
"03/23/2018 12:52:10";1;1;0;1;0
"03/23/2018 12:53:55";1;0;0;1;0
"03/23/2018 12:54:23";1;0;0;1;0
"03/23/2018 12:55:01";1;0;0;1;0
"03/23/2018 12:57:08";1;0;0;1;0
"03/23/2018 13:31:09";1;0;0;1;0
"03/23/2018 13:32:08";1;0;0;1;0
"03/23/2018 13:34:15";1;0;0;1;0
"03/23/2018 13:34:34";1;0;0;1;0
"03/23/2018 13:41:26";1;0;0;1;0
"03/23/2018 13:42:53";1;0;0;1;0
"03/23/2018 13:44:12";1;0;0;1;0
"03/23/2018 13:44:54";1;0;0;1;0
"03/23/2018 13:48:23";1;0;0;1;0
"03/23/2018 13:49:21";1;0;0;1;0
"03/23/2018 14:12:00";1;0;0;1;0
"03/23/2018 14:12:42";1;0;0;1;0
"03/23/2018 14:12:48";1;0;0;1;0
"03/23/2018 14:12:53";1;1;0;1;0
"03/23/2018 14:13:46";1;0;0;1;0
"03/23/2018 14:14:22";1;0;0;1;0
"03/23/2018 14:14:25";1;0;0;1;0
"03/23/2018 14:17:27";1;0;0;0;1
"03/23/2018 14:21:05";1;0;0;1;0
"03/23/2018 14:43:44";1;0;0;1;0
"03/23/2018 14:48:34";1;0;0;1;0
"03/23/2018 14:48:40";1;1;0;1;0
"03/23/2018 14:59:52";1;0;0;1;0
"03/23/2018 16:11:10";1;0;0;1;0
"03/23/2018 16:12:35";1;0;1;1;0
"03/23/2018 16:19:51";1;0;0;1;0
"03/23/2018 16:27:54";1;0;0;1;0
"03/23/2018 16:28:14";1;0;1;1;0
"03/23/2018 16:28:27";1;1;1;1;0
"03/23/2018 16:28:49";1;0;0;1;0
"03/23/2018 16:30:53";1;1;0;1;0
"03/23/2018 16:31:11";1;1;1;1;0
"03/23/2018 16:34:02";1;0;0;1;0
"03/23/2018 16:34:36";1;1;1;1;0
"03/26/2018 12:30:32";1;0;0;1;0
"03/26/2018 12:32:00";1;0;0;1;0
"03/26/2018 12:33:01";1;1;1;1;0
